water,"вода"
hot water,"горячая вода"
cold water,"холодная вода"
tap,"кран"
drop,"капля"
to drip,"капать"
to leak,"течь (протекать)"
leak,"течь (утечка)"
puddle,"лужа (на полу и т.п.)"
pipe,"труба"
valve,"вентиль"
to be clogged up,"засориться (о трубе)"
tools,"инструменты"
adjustable spanner,"разводной ключ"
to unscrew,"открутить"
to screw,"закрутить"
to unclog,"прочищать"
plumber,"сантехник"
basement,"подвал"
sewerage,"канализация"
