predator,"хищник"
tiger,"тигр"
lion,"лев"
wolf,"волк"
fox,"лиса"
jaguar,"ягуар"
leopard,"леопард"
cheetah,"гепард"
black panther,"пантера"
puma,"пума"
snow leopard,"снежный барс"
lynx,"рысь"
coyote,"койот"
jackal,"шакал"
hyena,"гиена"
