Egypt,"Египет"
Egyptian,"египтянин, египтянка, египетский"
Morocco,"Марокко"
Moroccan,"марокканец, марокканка, марокканский"
Tunisia,"Тунис"
Tunisian,"тунисец, туниска, тунисский"
Ghana,"Гана"
Zanzibar,"Занзибар"
Kenya,"Кения"
Libya,"Ливия"
Madagascar,"Мадагаскар"
Namibia,"Намибия"
Senegal,"Сенегал"
Tanzania,"Танзания"
South Africa,"ЮАР"
African,"африканец, африканка, африканский"
