woman,"женщина"
girl,"девушка"
bride,"невеста"
beautiful,"красивая"
tall,"высокая"
slender,"стройная"
short,"невысокого роста"
blonde,"блондинка"
brunette,"брюнетка"
virgin,"девственница"
pregnant,"беременная"
man,"мужчина"
blond haired man,"блондин"
dark haired man,"брюнет"
rude,"грубый"
stocky,"коренастый"
robust,"крепкий"
strong,"сильный"
strength,"сила (человека)"
fat,"полный (толстый)"
swarthy,"смуглый"
well-built,"стройный"
elegant,"элегантный"
