private,"рядовой"
sergeant,"сержант"
lieutenant,"лейтенант"
captain,"капитан"
major,"майор"
colonel,"полковник"
general,"генерал"
marshal,"маршал"
admiral,"адмирал"
military man,"военный"
soldier,"солдат"
officer,"офицер"
commander,"командир"
border guard,"пограничник"
radio operator,"радист"
scout,"разведчик"
pioneer,"сапёр"
marksman,"стрелок"
navigator,"штурман"
